,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
155,156,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",39522.03796170131,49522.03796170131,"[[(1, 2), (3, 3), (2, 4), (4, 6), (5, 7), (6, 8), (7, 9)], [(2, 1), (1, 5)]]"
156,157,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",39522.03796170131,49522.03796170131,"[[(3, 2), (1, 3), (2, 4), (4, 6), (5, 7), (6, 8), (7, 9)], [(3, 1), (1, 5)]]"
157,158,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",39610.89754167409,49610.89754167409,"[[(1, 2), (7, 3), (6, 4), (3, 5), (4, 6), (5, 7), (2, 8)], [(2, 1), (1, 9)]]"
158,159,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",39610.89754167409,49610.89754167409,"[[(1, 2), (7, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8)], [(2, 1), (1, 9)]]"
159,160,"['frag_16_c00001', 'frag_08_c00001']","[[], [6, 7]]",29638.49786651047,49638.49786651047,"[[(7, 2), (3, 3), (2, 4), (4, 6), (5, 7), (6, 8), (1, 9)], [(1, 1), (2, 5)]]"
160,161,"['frag_16_c00001', 'frag_08_c00001']","[[], [6, 7]]",29638.49786651047,49638.49786651047,"[[(7, 2), (1, 3), (2, 4), (4, 6), (5, 7), (6, 8), (3, 9)], [(1, 1), (2, 5)]]"
161,162,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",49698.05395472812,49698.05395472812,"[[(2, 2), (1, 6)], [(4, 1), (1, 3), (6, 4), (3, 5), (5, 7), (2, 8), (7, 9)]]"
162,163,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",49698.05395472815,49698.05395472815,"[[(2, 2), (1, 6)], [(4, 1), (1, 3), (2, 4), (3, 5), (5, 7), (6, 8), (7, 9)]]"
163,164,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",39835.02117532585,49835.02117532585,"[[(4, 1), (7, 3), (6, 4), (1, 5), (5, 7), (2, 8), (3, 9)], [(1, 2), (2, 6)]]"
164,165,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",39835.02117532585,49835.02117532585,"[[(4, 1), (7, 3), (2, 4), (1, 5), (5, 7), (6, 8), (3, 9)], [(1, 2), (2, 6)]]"
165,166,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",49875.14528741216,49875.14528741216,"[[(2, 2), (1, 6)], [(4, 1), (1, 3), (6, 4), (7, 5), (5, 7), (2, 8), (3, 9)]]"
166,167,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",49875.14528741216,49875.14528741216,"[[(2, 2), (1, 6)], [(4, 1), (1, 3), (2, 4), (7, 5), (5, 7), (6, 8), (3, 9)]]"
167,168,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",49885.17498994045,49885.17498994045,"[[(1, 1), (2, 5)], [(7, 2), (1, 3), (2, 4), (5, 6), (4, 7), (6, 8), (3, 9)]]"
168,169,"['frag_06_c00001', 'frag_16_c00001']","[[7], []]",39898.71538288018,49898.71538288018,"[[(2, 1), (1, 5)], [(1, 2), (3, 3), (2, 4), (4, 6), (5, 7), (6, 8), (7, 9)]]"
169,170,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",49941.93641436624,49941.93641436624,"[[(1, 1), (2, 9)], [(1, 2), (3, 3), (6, 4), (7, 5), (4, 6), (5, 7), (2, 8)]]"
170,171,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",49941.93641436624,49941.93641436624,"[[(1, 1), (2, 9)], [(1, 2), (3, 3), (2, 4), (7, 5), (4, 6), (5, 7), (6, 8)]]"
171,172,"['frag_06_c00001', 'frag_16_c00001']","[[7], []]",39982.24248547794,49982.24248547794,"[[(2, 1), (1, 9)], [(1, 2), (7, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8)]]"
172,173,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",39982.24248547794,49982.24248547794,"[[(1, 2), (7, 3), (6, 4), (3, 5), (4, 6), (5, 7), (2, 8)], [(2, 1), (1, 9)]]"
173,174,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",39982.24248547794,49982.24248547794,"[[(1, 2), (7, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8)], [(2, 1), (1, 9)]]"
174,175,"['frag_05_c00001', 'frag_16_c00001']","[[8], []]",40253.69993936131,50253.69993936131,"[[(2, 1), (1, 3)], [(7, 2), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (1, 9)]]"
175,176,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",40253.69993936131,50253.69993936131,"[[(7, 2), (6, 4), (1, 5), (4, 6), (5, 7), (2, 8), (3, 9)], [(2, 1), (1, 3)]]"
176,177,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",40253.69993936131,50253.69993936131,"[[(7, 2), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (3, 9)], [(2, 1), (1, 3)]]"
177,178,"['frag_09_c00001', 'frag_16_c00001']","[[6, 6], []]",30301.738187487877,50301.73818748788,"[[(1, 1), (2, 9)], [(7, 2), (1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8)]]"
178,179,"['frag_09_c00001', 'frag_16_c00001']","[[6, 6], []]",30301.738187487936,50301.738187487936,"[[(1, 1), (3, 9)], [(7, 2), (3, 3), (6, 4), (1, 5), (4, 6), (5, 7), (2, 8)]]"
179,180,"['frag_09_c00001', 'frag_16_c00001']","[[6, 6], []]",30301.738187487936,50301.738187487936,"[[(1, 1), (2, 9)], [(7, 2), (3, 3), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8)]]"
180,181,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",40334.20485880342,50334.20485880342,"[[(1, 2), (7, 3), (2, 4), (4, 6), (5, 7), (6, 8), (3, 9)], [(2, 1), (1, 5)]]"
181,182,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",40334.20485880342,50334.20485880342,"[[(1, 2), (7, 3), (6, 4), (4, 6), (5, 7), (2, 8), (3, 9)], [(3, 1), (1, 5)]]"
182,183,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",40334.20485880342,50334.20485880342,"[[(1, 2), (7, 3), (6, 4), (4, 6), (5, 7), (2, 8), (3, 9)], [(2, 1), (1, 5)]]"
183,184,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",40334.20485880342,50334.20485880342,"[[(1, 2), (7, 3), (2, 4), (4, 6), (5, 7), (6, 8), (3, 9)], [(2, 1), (1, 5)]]"
184,185,"['frag_10_c00001', 'frag_16_c00001']","[[7, 6], []]",30414.350406473328,50414.35040647333,"[[(1, 2), (4, 6)], [(4, 1), (1, 3), (6, 4), (3, 5), (5, 7), (2, 8), (7, 9)]]"
185,186,"['frag_10_c00001', 'frag_16_c00001']","[[7, 6], []]",30414.350406473357,50414.35040647336,"[[(1, 2), (4, 6)], [(4, 1), (1, 3), (2, 4), (3, 5), (5, 7), (6, 8), (7, 9)]]"
186,187,"['frag_10_c00001', 'frag_16_c00001']","[[7, 6], []]",30417.532319832302,50417.5323198323,"[[(4, 1), (1, 9)], [(7, 2), (1, 3), (2, 4), (3, 5), (5, 6), (4, 7), (6, 8)]]"
187,188,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",50510.220851830265,50510.220851830265,"[[(2, 2), (1, 6)], [(4, 1), (7, 3), (2, 4), (1, 5), (5, 7), (6, 8), (3, 9)]]"
188,189,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",50512.137113178935,50512.137113178935,"[[(1, 1), (2, 5)], [(1, 2), (3, 3), (2, 4), (4, 6), (5, 7), (6, 8), (7, 9)]]"
189,190,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",50577.011978784314,50577.011978784314,"[[(1, 1), (2, 9)], [(1, 2), (7, 3), (6, 4), (3, 5), (4, 6), (5, 7), (2, 8)]]"
190,191,"['frag_04_c00001', 'frag_16_c00001']","[[], []]",50577.011978784314,50577.011978784314,"[[(1, 1), (2, 9)], [(1, 2), (7, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8)]]"
191,192,"['frag_10_c00001', 'frag_16_c00001']","[[7, 6], []]",30591.441739157366,50591.441739157366,"[[(1, 2), (4, 6)], [(4, 1), (1, 3), (6, 4), (7, 5), (5, 7), (2, 8), (3, 9)]]"
