,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
846,847,"['frag_03_c00001', 'frag_06_c00001', 'frag_15_c00001']","[[7], [8], [6]]",11.146918124060544,14.146918124060544,"[[(1, 3)], [(3, 8), (1, 9)], [(1, 1), (2, 2), (4, 4), (5, 5), (6, 6), (7, 7)]]"
847,848,"['frag_03_c00001', 'frag_15_c00001', 'frag_06_c00001']","[[7], [6], [8]]",11.146918124060544,14.146918124060544,"[[(1, 3)], [(1, 1), (2, 2), (4, 4), (5, 5), (6, 6), (7, 7)], [(3, 8), (1, 9)]]"
848,849,"['frag_04_c00001', 'frag_11_c00001', 'frag_16_c00001']","[[], [8], [7, 6, 8, 6]]",9.17119680396187,14.17119680396187,"[[(1, 1), (2, 2)], [(2, 4), (3, 5), (4, 6), (1, 9)], [(1, 3), (5, 7), (6, 8)]]"
849,850,"['frag_04_c00001', 'frag_11_c00001', 'frag_16_c00001']","[[], [8], [7, 6, 8, 6]]",9.17119680396187,14.17119680396187,"[[(1, 1), (2, 2)], [(2, 4), (3, 5), (4, 6), (1, 9)], [(1, 3), (5, 7), (6, 8)]]"
850,851,"['frag_04_c00001', 'frag_11_c00001', 'frag_16_c00001']","[[], [8], [7, 6, 8, 6]]",9.17119680396187,14.17119680396187,"[[(1, 1), (2, 2)], [(2, 4), (3, 5), (4, 6), (1, 9)], [(1, 3), (5, 7), (6, 8)]]"
851,852,"['frag_11_c00001', 'frag_04_c00001', 'frag_16_c00001']","[[8], [], [7, 6, 8, 6]]",9.17119680396187,14.17119680396187,"[[(2, 4), (3, 5), (4, 6), (1, 9)], [(1, 1), (2, 2)], [(1, 3), (5, 7), (6, 8)]]"
852,853,"['frag_11_c00001', 'frag_04_c00001', 'frag_16_c00001']","[[8], [], [7, 6, 8, 6]]",9.17119680396187,14.17119680396187,"[[(2, 4), (3, 5), (4, 6), (1, 9)], [(1, 1), (2, 2)], [(1, 3), (5, 7), (6, 8)]]"
853,854,"['frag_04_c00001', 'frag_11_c00001', 'frag_16_c00001']","[[], [8], [7, 6, 8, 6]]",9.17119680396187,14.17119680396187,"[[(1, 1), (2, 2)], [(2, 4), (3, 5), (4, 6), (1, 9)], [(1, 3), (5, 7), (6, 8)]]"
854,855,"['frag_04_c00001', 'frag_16_c00001', 'frag_11_c00001']","[[], [7, 6, 8, 6], [8]]",9.17119680396187,14.17119680396187,"[[(1, 1), (2, 2)], [(1, 3), (5, 7), (6, 8)], [(2, 4), (3, 5), (4, 6), (1, 9)]]"
855,856,"['frag_04_c00001', 'frag_16_c00001', 'frag_11_c00001']","[[], [7, 6, 8, 6], [8]]",9.171196803961873,14.171196803961873,"[[(1, 1), (2, 2)], [(1, 3), (5, 7), (6, 8)], [(2, 4), (3, 5), (4, 6), (1, 9)]]"
856,857,"['frag_15_c00001', 'frag_06_c00001', 'frag_08_c00001']","[[8, 8], [6], [6, 7]]",9.17947066076318,14.17947066076318,"[[(2, 2), (4, 4), (5, 5), (1, 6), (3, 9)], [(2, 7), (3, 8)], [(1, 1), (3, 3)]]"
857,858,"['frag_06_c00001', 'frag_15_c00001', 'frag_08_c00001']","[[6], [8, 8], [6, 7]]",9.17947066076318,14.17947066076318,"[[(2, 7), (3, 8)], [(2, 2), (4, 4), (5, 5), (1, 6), (3, 9)], [(1, 1), (3, 3)]]"
858,859,"['frag_08_c00001', 'frag_15_c00001', 'frag_06_c00001']","[[6, 7], [8, 8], [6]]",9.179470660763183,14.179470660763183,"[[(1, 1), (3, 3)], [(2, 2), (4, 4), (5, 5), (1, 6), (3, 9)], [(2, 7), (3, 8)]]"
859,860,"['frag_15_c00001', 'frag_08_c00001', 'frag_06_c00001']","[[8, 8], [6, 7], [6]]",9.179470660763183,14.179470660763183,"[[(2, 2), (4, 4), (5, 5), (1, 6), (3, 9)], [(1, 1), (3, 3)], [(2, 7), (3, 8)]]"
860,861,"['frag_06_c00001', 'frag_15_c00001', 'frag_08_c00001']","[[6], [8, 8], [6, 7]]",9.179470660763183,14.179470660763183,"[[(2, 7), (3, 8)], [(2, 2), (4, 4), (5, 5), (1, 6), (3, 9)], [(1, 1), (3, 3)]]"
861,862,"['frag_06_c00001', 'frag_15_c00001', 'frag_08_c00001']","[[6], [8, 8], [6, 7]]",9.179470660763183,14.179470660763183,"[[(2, 7), (3, 8)], [(2, 2), (4, 4), (5, 5), (1, 6), (3, 9)], [(1, 1), (3, 3)]]"
862,863,"['frag_06_c00001', 'frag_08_c00001', 'frag_15_c00001']","[[6], [6, 7], [8, 8]]",9.179470660763187,14.179470660763187,"[[(2, 7), (3, 8)], [(1, 1), (3, 3)], [(2, 2), (4, 4), (5, 5), (1, 6), (3, 9)]]"
863,864,"['frag_15_c00001', 'frag_06_c00001', 'frag_08_c00001']","[[8, 8], [6], [6, 7]]",9.179470660763187,14.179470660763187,"[[(2, 2), (4, 4), (5, 5), (1, 6), (3, 9)], [(2, 7), (3, 8)], [(1, 1), (3, 3)]]"
