,Fragments,ObjValNoPen,ObjValWithPen
0,"['frag_02_c00001', 'frag_16_c00001']",3.304071743696909,3.304071743696909
1,"['frag_02_c00001', 'frag_16_c00001']",3.304071743696909,3.304071743696909
2,"['frag_02_c00001', 'frag_16_c00001']",3.304071743696909,3.304071743696909
3,"['frag_02_c00001', 'frag_16_c00001']",3.3040717436970226,3.304071743696909
4,"['frag_04_c00001', 'frag_16_c00001']",3.5793822220040283,3.3040717436970226
5,"['frag_04_c00001', 'frag_16_c00001']",3.5793822220040283,3.5793822220040283
6,"['frag_04_c00001', 'frag_16_c00001']",3.5793822220040283,3.5793822220040283
7,"['frag_04_c00001', 'frag_16_c00001']",3.579382222004142,3.5793822220040283
8,"['frag_03_c00001', 'frag_16_c00001']",5.437596391165357,3.579382222004142
9,"['frag_03_c00001', 'frag_16_c00001']",5.437596391165357,5.437596391165357
10,"['frag_03_c00001', 'frag_16_c00001']",5.437596391165357,5.437596391165357
11,"['frag_03_c00001', 'frag_16_c00001']",5.437596391165357,5.437596391165357
12,"['frag_09_c00001', 'frag_11_c00001']",8.926703581595234,5.437596391165357
13,"['frag_09_c00001', 'frag_11_c00001']",8.926703581595234,8.926703581595234
14,"['frag_09_c00001', 'frag_11_c00001']",8.926703581595234,8.926703581595234
15,"['frag_09_c00001', 'frag_11_c00001']",8.926703581595234,8.926703581595234
16,"['frag_05_c00001', 'frag_13_c00001']",8.942538371464593,8.926703581595234
17,"['frag_05_c00001', 'frag_13_c00001']",8.942538371464593,8.942538371464593
18,"['frag_05_c00001', 'frag_13_c00001']",8.942538371464707,8.942538371464593
19,"['frag_05_c00001', 'frag_13_c00001']",8.942538371464707,8.942538371464707
20,"['frag_03_c00001', 'frag_15_c00001']",8.984233384881122,8.942538371464707
21,"['frag_03_c00001', 'frag_15_c00001']",8.984233384881122,8.984233384881122
22,"['frag_03_c00001', 'frag_15_c00001']",8.984233384881122,8.984233384881122
23,"['frag_03_c00001', 'frag_15_c00001']",8.984233384881122,8.984233384881122
24,"['frag_02_c00001', 'frag_15_c00001']",9.137559971554992,8.984233384881122
25,"['frag_02_c00001', 'frag_15_c00001']",9.137559971554992,9.137559971554992
26,"['frag_02_c00001', 'frag_15_c00001']",9.137559971555106,9.137559971554992
27,"['frag_02_c00001', 'frag_15_c00001']",9.137559971555106,9.137559971555106
28,"['frag_08_c00001', 'frag_11_c00001']",9.328540367871597,9.137559971555106
29,"['frag_08_c00001', 'frag_11_c00001']",9.328540367871597,9.328540367871597
30,"['frag_08_c00001', 'frag_11_c00001']",9.328540367871597,9.328540367871597
31,"['frag_08_c00001', 'frag_11_c00001']",9.328540367871597,9.328540367871597
32,"['frag_10_c00001', 'frag_11_c00001']",10.22492332850618,9.328540367871597
33,"['frag_10_c00001', 'frag_11_c00001']",10.22492332850618,10.22492332850618
34,"['frag_10_c00001', 'frag_11_c00001']",10.22492332850618,10.22492332850618
35,"['frag_10_c00001', 'frag_11_c00001']",10.22492332850618,10.22492332850618
36,"['frag_04_c00001', 'frag_15_c00001']",10.293500347445502,10.22492332850618
37,"['frag_04_c00001', 'frag_15_c00001']",10.293500347445502,10.293500347445502
38,"['frag_04_c00001', 'frag_15_c00001']",10.293500347445502,10.293500347445502
39,"['frag_04_c00001', 'frag_15_c00001']",10.293500347445502,10.293500347445502
40,"['frag_09_c00001', 'frag_12_c00001']",10.761833976760727,10.293500347445502
41,"['frag_09_c00001', 'frag_12_c00001']",10.761833976760727,10.761833976760727
42,"['frag_09_c00001', 'frag_12_c00001']",10.76183397676084,10.761833976760727
43,"['frag_09_c00001', 'frag_12_c00001']",10.76183397676084,10.76183397676084
44,"['frag_07_c00001', 'frag_11_c00001']",10.953981787296016,10.76183397676084
45,"['frag_07_c00001', 'frag_11_c00001']",10.953981787296016,10.953981787296016
46,"['frag_07_c00001', 'frag_11_c00001']",10.953981787296016,10.953981787296016
47,"['frag_07_c00001', 'frag_11_c00001']",10.953981787296016,10.953981787296016
48,"['frag_06_c00001', 'frag_13_c00001']",11.102037094123148,10.953981787296016
49,"['frag_06_c00001', 'frag_13_c00001']",11.102037094123148,11.102037094123148
50,"['frag_06_c00001', 'frag_13_c00001']",11.102037094123148,11.102037094123148
51,"['frag_06_c00001', 'frag_13_c00001']",11.102037094123148,11.102037094123148
52,"['frag_08_c00001', 'frag_12_c00001']",11.99023262544506,11.102037094123148
53,"['frag_08_c00001', 'frag_12_c00001']",11.99023262544506,11.99023262544506
54,"['frag_08_c00001', 'frag_12_c00001']",11.99023262544506,11.99023262544506
55,"['frag_08_c00001', 'frag_12_c00001']",11.990232625445174,11.99023262544506
56,"['frag_06_c00001', 'frag_14_c00001']",12.355941998288017,11.990232625445174
57,"['frag_06_c00001', 'frag_14_c00001']",12.355941998288017,12.355941998288017
58,"['frag_06_c00001', 'frag_14_c00001']",12.355941998288017,12.355941998288017
59,"['frag_06_c00001', 'frag_14_c00001']",12.355941998288017,12.355941998288017
60,"['frag_05_c00001', 'frag_14_c00001']",12.420844747266415,12.355941998288017
61,"['frag_05_c00001', 'frag_14_c00001']",12.420844747266415,12.420844747266415
62,"['frag_05_c00001', 'frag_14_c00001']",12.420844747266415,12.420844747266415
63,"['frag_05_c00001', 'frag_14_c00001']",12.420844747266415,12.420844747266415
64,"['frag_07_c00001', 'frag_12_c00001']",12.552830159181553,12.420844747266415
65,"['frag_07_c00001', 'frag_12_c00001']",12.552830159181553,12.552830159181553
66,"['frag_07_c00001', 'frag_12_c00001']",12.552830159181553,12.552830159181553
67,"['frag_07_c00001', 'frag_12_c00001']",12.552830159181553,12.552830159181553
68,"['frag_10_c00001', 'frag_12_c00001']",13.220444313542203,12.552830159181553
69,"['frag_10_c00001', 'frag_12_c00001']",13.220444313542203,13.220444313542203
70,"['frag_10_c00001', 'frag_12_c00001']",13.220444313542203,13.220444313542203
71,"['frag_10_c00001', 'frag_12_c00001']",13.220444313542316,13.220444313542203
72,"['frag_02_c00001', 'frag_02_c00001', 'frag_11_c00001']",16.371895622418492,13.220444313542316
73,"['frag_02_c00001', 'frag_02_c00001', 'frag_11_c00001']",16.371895622418492,16.371895622418492
74,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",16.710126938876897,16.371895622418492
75,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",16.710126938876897,16.710126938876897
76,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",16.710126938876897,16.710126938876897
77,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",16.710126938876897,16.710126938876897
78,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",16.71012693887701,16.710126938876897
79,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",16.71012693887701,16.71012693887701
