,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
0,1,"['frag_16_c00001', 'frag_04_c00001']","[[], []]",6144.62427835539,6144.62427835539,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1), (2, 2)]]"
1,12,"['frag_03_c00001', 'frag_15_c00001']","[[], []]",10623.32589327544,10623.32589327544,"[[(2, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]]"
2,15,"['frag_08_c00001', 'frag_12_c00001']","[[], []]",11749.565911475569,11749.565911475569,"[[(1, 1), (2, 2), (3, 3), (4, 4)], [(1, 5), (2, 6), (3, 7), (4, 8), (5, 9)]]"
3,18,"['frag_10_c00001', 'frag_12_c00001']","[[], []]",12433.385068329051,12433.385068329051,"[[(4, 1), (3, 2), (1, 3), (2, 4)], [(1, 5), (2, 6), (3, 7), (4, 8), (5, 9)]]"
4,19,"['frag_08_c00001', 'frag_11_c00001']","[[], []]",12845.9665310774,12845.9665310774,"[[(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6), (5, 7), (2, 8), (1, 9)]]"
5,27,"['frag_06_c00001', 'frag_14_c00001']","[[], []]",14082.007144078612,14082.007144078612,"[[(2, 7), (3, 8), (1, 9)], [(6, 1), (5, 2), (3, 3), (4, 4), (2, 5), (1, 6)]]"
6,29,"['frag_10_c00001', 'frag_11_c00001']","[[], []]",14624.55239418149,14624.55239418149,"[[(4, 1), (3, 2), (2, 8), (1, 9)], [(1, 3), (2, 4), (3, 5), (4, 6), (5, 7)]]"
7,35,"['frag_12_c00001', 'frag_03_c00001', 'frag_04_c00001']","[[], [], []]",16226.78878721781,16226.78878721781,"[[(5, 3), (4, 4), (1, 5), (2, 6), (3, 7)], [(2, 8), (1, 9)], [(1, 1), (2, 2)]]"
8,43,"['frag_08_c00001', 'frag_06_c00001', 'frag_04_c00001']","[[], [], []]",17469.16598661989,17469.16598661989,"[[(1, 1), (2, 2), (3, 3), (4, 4)], [(2, 7), (3, 8), (1, 9)], [(2, 5), (1, 6)]]"
