,SolN,Fragments,ObjValNoPen,ObjValWithPen
59,60,"['frag_02_c00001', 'frag_06_c00001', 'frag_11_c00001']",111.6678171758141,211.6678171758141
60,61,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_10_c00001']",211.96732963631712,211.96732963631712
61,62,"['frag_04_c00001', 'frag_06_c00001', 'frag_07_c00001']",212.0702478062086,212.0702478062086
62,63,"['frag_05_c00001', 'frag_14_c00001']",212.61782616958817,212.61782616958817
63,64,"['frag_03_c00001', 'frag_06_c00001', 'frag_08_c00001']",213.49121284463104,213.49121284463104
64,65,"['frag_02_c00001', 'frag_04_c00001', 'frag_12_c00001']",213.7793519824304,213.7793519824304
65,66,"['frag_01_c00001', 'frag_02_c00001', 'frag_04_c00001', 'frag_07_c00001']",213.809693213831,213.809693213831
66,67,"['frag_05_c00001', 'frag_06_c00001', 'frag_10_c00001']",113.94146089030937,213.94146089030937
67,68,"['frag_03_c00001', 'frag_04_c00001', 'frag_14_c00001']",114.14439489921165,214.14439489921165
68,69,"['frag_01_c00001', 'frag_04_c00001', 'frag_06_c00001', 'frag_10_c00001']",114.34032026918908,214.34032026918908
69,70,"['frag_01_c00001', 'frag_10_c00001', 'frag_11_c00001']",114.4979728019274,214.4979728019274
70,71,"['frag_04_c00001', 'frag_08_c00001', 'frag_10_c00001']",115.19562478750038,215.19562478750038
71,72,"['frag_06_c00001', 'frag_13_c00001']",216.02697199596662,216.02697199596662
72,73,"['frag_01_c00001', 'frag_07_c00001', 'frag_08_c00001']",216.0976326804141,216.0976326804141
73,74,"['frag_03_c00001', 'frag_04_c00001', 'frag_05_c00001', 'frag_06_c00001']",119.69926225299719,219.6992622529972
74,75,"['frag_01_c00001', 'frag_03_c00001', 'frag_05_c00001', 'frag_08_c00001']",120.90219582323607,220.90219582323607
75,76,"['frag_04_c00001', 'frag_05_c00001', 'frag_10_c00001']",221.67092861376364,221.67092861376364
76,77,"['frag_03_c00001', 'frag_05_c00001', 'frag_11_c00001']",122.13045111398992,222.13045111398992
77,78,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_11_c00001']",122.30415711493788,222.30415711493788
78,79,"['frag_01_c00001', 'frag_05_c00001', 'frag_13_c00001']",122.85435034968168,222.85435034968168
79,80,"['frag_01_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_07_c00001']",223.2180570959522,223.2180570959522
80,81,"['frag_10_c00001', 'frag_14_c00001']",123.93020603194486,223.93020603194486
81,82,"['frag_01_c00001', 'frag_03_c00001', 'frag_05_c00001', 'frag_10_c00001']",124.83743777788789,224.83743777788789
82,83,"['frag_01_c00001', 'frag_04_c00001', 'frag_05_c00001', 'frag_07_c00001']",126.56935080942662,226.56935080942662
83,84,"['frag_01_c00001', 'frag_02_c00001', 'frag_05_c00001', 'frag_06_c00001']",227.93226167544856,227.93226167544856
84,85,"['frag_01_c00001', 'frag_03_c00001', 'frag_13_c00001']",227.96180428352022,227.96180428352022
85,86,"['frag_04_c00001', 'frag_05_c00001', 'frag_08_c00001']",230.15309437084738,230.15309437084738
86,87,"['frag_03_c00001', 'frag_06_c00001', 'frag_10_c00001']",230.20740544059095,230.20740544059095
87,88,"['frag_02_c00001', 'frag_03_c00001', 'frag_05_c00001', 'frag_06_c00001']",130.39003196458634,230.39003196458634
88,89,"['frag_01_c00001', 'frag_02_c00001', 'frag_06_c00001', 'frag_08_c00001']",131.3989860812651,231.3989860812651
89,90,"['frag_01_c00001', 'frag_07_c00001', 'frag_10_c00001']",232.89488013576477,232.89488013576477
90,91,"['frag_02_c00001', 'frag_16_c00001']",234.24156640228216,234.24156640228216
91,92,"['frag_01_c00001', 'frag_04_c00001', 'frag_16_c00001']",135.43052630874922,235.43052630874922
92,93,"['frag_05_c00001', 'frag_06_c00001', 'frag_07_c00001']",136.05278833468662,236.05278833468662
93,94,"['frag_01_c00001', 'frag_03_c00001', 'frag_06_c00001', 'frag_09_c00001']",136.2002995897185,236.2002995897185
94,95,"['frag_01_c00001', 'frag_02_c00001', 'frag_06_c00001', 'frag_10_c00001']",137.0713527487385,237.0713527487385
95,96,"['frag_03_c00001', 'frag_06_c00001', 'frag_11_c00001']",137.41988737105453,237.41988737105453
96,97,"['frag_01_c00001', 'frag_02_c00001', 'frag_05_c00001', 'frag_07_c00001']",137.792233742309,237.792233742309
97,98,"['frag_01_c00001', 'frag_07_c00001', 'frag_11_c00001']",139.5265721994292,239.5265721994292
98,99,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_06_c00001']",142.40749143610833,242.40749143610833
99,100,"['frag_01_c00001', 'frag_03_c00001', 'frag_05_c00001', 'frag_07_c00001']",147.2005976244301,247.2005976244301
100,101,"['frag_01_c00001', 'frag_04_c00001', 'frag_06_c00001', 'frag_07_c00001']",148.0702478062086,248.0702478062086
101,102,"['frag_01_c00001', 'frag_03_c00001', 'frag_06_c00001', 'frag_08_c00001']",149.49121284463104,249.49121284463104
102,103,"['frag_01_c00001', 'frag_06_c00001', 'frag_13_c00001']",152.02697199596673,252.02697199596673
103,104,"['frag_02_c00001', 'frag_03_c00001', 'frag_12_c00001']",253.50632487252494,253.50632487252494
104,105,"['frag_11_c00001', 'frag_12_c00001']",154.81016390477362,254.81016390477362
105,106,"['frag_07_c00001', 'frag_12_c00001']",256.5249787096851,256.5249787096851
106,107,"['frag_01_c00001', 'frag_06_c00001', 'frag_12_c00001']",256.5700004080021,256.5700004080021
107,108,"['frag_01_c00001', 'frag_08_c00001', 'frag_12_c00001']",156.9354336883713,256.9354336883713
108,109,"['frag_05_c00001', 'frag_16_c00001']",158.6799873606824,258.6799873606824
109,110,"['frag_01_c00001', 'frag_10_c00001', 'frag_12_c00001']",163.55982820297754,263.55982820297754
110,111,"['frag_03_c00001', 'frag_16_c00001']",265.4298878756158,265.4298878756158
111,112,"['frag_01_c00001', 'frag_03_c00001', 'frag_06_c00001', 'frag_10_c00001']",166.20740544059095,266.20740544059095
112,113,"['frag_01_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_12_c00001']",170.0804412422732,270.0804412422732
113,114,"['frag_01_c00001', 'frag_02_c00001', 'frag_16_c00001']",170.24156640228216,270.24156640228216
114,115,"['frag_04_c00001', 'frag_06_c00001', 'frag_12_c00001']",177.15749913966408,277.1574991396641
115,116,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_12_c00001']",189.50632487252494,289.50632487252494
116,117,"['frag_01_c00001', 'frag_07_c00001', 'frag_12_c00001']",192.52497870968512,292.5249787096851
117,118,"['frag_02_c00001', 'frag_06_c00001', 'frag_12_c00001']",196.58338276991594,296.58338276991594
118,119,"['frag_01_c00001', 'frag_02_c00001', 'frag_15_c00001']",197.35700031410033,297.35700031410033
119,120,"['frag_03_c00001', 'frag_05_c00001', 'frag_12_c00001']",197.71203802497064,297.71203802497064
120,121,"['frag_01_c00001', 'frag_03_c00001', 'frag_16_c00001']",201.4298878756158,301.4298878756158
121,122,"['frag_01_c00001', 'frag_09_c00001', 'frag_11_c00001']",202.22931404277824,302.22931404277824
122,123,"['frag_04_c00001', 'frag_07_c00001', 'frag_08_c00001']",207.28350965532923,307.2835096553292
123,124,"['frag_01_c00001', 'frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",208.04205181121574,308.04205181121574
124,125,"['frag_06_c00001', 'frag_16_c00001']",208.79999560211172,308.7999956021117
125,126,"['frag_07_c00001', 'frag_14_c00001']",214.45820553928638,314.4582055392864
126,127,"['frag_08_c00001', 'frag_13_c00001']",215.29181150258432,315.2918115025843
127,128,"['frag_03_c00001', 'frag_06_c00001', 'frag_12_c00001']",217.0248712372952,317.0248712372952
