,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_03_c00001', 'frag_15_c00001']",28.396122890934976,28.396122890934976
1,2,"['frag_08_c00001', 'frag_11_c00001']",30.412026058728316,30.412026058728316
2,3,"['frag_06_c00001', 'frag_14_c00001']",34.22381336185708,34.22381336185708
3,4,"['frag_03_c00001', 'frag_04_c00001', 'frag_11_c00001']",38.35821290968738,38.35821290968738
4,5,"['frag_04_c00001', 'frag_06_c00001', 'frag_08_c00001']",38.952780642034895,38.952780642034895
5,6,"['frag_04_c00001', 'frag_06_c00001', 'frag_10_c00001']",44.63272260658596,44.63272260658596
6,7,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",44.87307649334139,44.87307649334139
7,8,"['frag_01_c00001', 'frag_08_c00001', 'frag_10_c00001']",46.691483843934975,46.691483843934975
8,9,"['frag_10_c00001', 'frag_11_c00001']",47.172940517853704,47.172940517853704
9,10,"['frag_03_c00001', 'frag_05_c00001', 'frag_08_c00001']",49.966556654752594,49.966556654752594
