,SolN,Fragments,Excess,ObjVal,Assignments
0,1,"['frag_13_c00001', 'frag_16_c00001', 'frag_15_c00001']","[[7, 7, 6], [6, 7], [8, 6, 6, 6, 8, 8]]",0.014116144202265792,"[[(1, 1), (2, 2), (3, 3)], [(3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(4, 4)]]"
1,2,"['frag_13_c00001', 'frag_16_c00001']","[[7, 7, 6], [6]]",0.014273811010497829,"[[(1, 1), (2, 2), (3, 3)], [(2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
2,7,"['frag_13_c00001', 'frag_14_c00001', 'frag_16_c00001', 'frag_15_c00001']","[[6, 7, 7, 6], [8, 6, 7, 6, 8], [6, 7], [8, 6, 6, 6, 8, 8]]",0.014820884847431139,"[[(1, 1), (3, 3)], [(2, 2)], [(3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(4, 4)]]"
3,10,"['frag_13_c00001', 'frag_14_c00001', 'frag_16_c00001']","[[6, 7, 7, 6], [8, 6, 7, 6, 8], [6]]",0.014978551655663176,"[[(1, 1), (3, 3)], [(2, 2)], [(2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
4,13,"['frag_13_c00001', 'frag_08_c00001', 'frag_16_c00001', 'frag_15_c00001']","[[8, 7, 7, 6], [6, 6, 7], [6, 7], [8, 6, 6, 6, 8, 8]]",0.015058893093549693,"[[(2, 2), (3, 3)], [(1, 1)], [(3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(4, 4)]]"
5,15,"['frag_13_c00001', 'frag_11_c00001', 'frag_16_c00001', 'frag_15_c00001']","[[7, 7, 6], [6, 7, 6, 8], [6, 7, 8], [8, 6, 6, 6, 8, 8]]",0.015141692820742535,"[[(1, 1), (2, 2), (3, 3)], [(4, 6)], [(3, 5), (5, 7), (6, 8), (7, 9)], [(4, 4)]]"
6,17,"['frag_13_c00001', 'frag_16_c00001', 'frag_09_c00001', 'frag_15_c00001']","[[8, 7, 7, 6], [6, 7], [6, 6, 6], [8, 6, 6, 6, 8, 8]]",0.01517754493179891,"[[(2, 2), (3, 3)], [(3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1)], [(4, 4)]]"
7,20,"['frag_13_c00001', 'frag_08_c00001', 'frag_16_c00001']","[[8, 7, 7, 6], [6, 6, 7], [6]]",0.01521655990178173,"[[(2, 2), (3, 3)], [(1, 1)], [(2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
8,22,"['frag_13_c00001', 'frag_11_c00001', 'frag_16_c00001']","[[7, 7, 6], [6, 7, 6, 8], [6, 8]]",0.015299359628974572,"[[(1, 1), (2, 2), (3, 3)], [(4, 6)], [(2, 4), (3, 5), (5, 7), (6, 8), (7, 9)]]"
9,23,"['frag_13_c00001', 'frag_16_c00001', 'frag_09_c00001']","[[8, 7, 7, 6], [6], [6, 6, 6]]",0.015335211740030948,"[[(2, 2), (3, 3)], [(2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(1, 1)]]"
10,55,"['frag_13_c00001', 'frag_08_c00001', 'frag_14_c00001', 'frag_15_c00001', 'frag_16_c00001']","[[8, 6, 7, 7, 6], [6, 6, 7], [8, 6, 7, 6, 8], [8, 6, 6, 6, 8, 8], [6, 7]]",0.01576363373871504,"[[(3, 3)], [(1, 1)], [(2, 2)], [(4, 4)], [(3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
11,63,"['frag_13_c00001', 'frag_14_c00001', 'frag_15_c00001', 'frag_16_c00001', 'frag_11_c00001']","[[6, 7, 7, 6], [8, 6, 7, 6, 8], [8, 6, 6, 6, 8, 8], [6, 7, 8], [6, 7, 6, 8]]",0.015846433465907882,"[[(1, 1), (3, 3)], [(2, 2)], [(4, 4)], [(3, 5), (5, 7), (6, 8), (7, 9)], [(4, 6)]]"
12,67,"['frag_13_c00001', 'frag_14_c00001', 'frag_09_c00001', 'frag_15_c00001', 'frag_16_c00001']","[[8, 6, 7, 7, 6], [8, 6, 7, 6, 8], [6, 6, 6], [8, 6, 6, 6, 8, 8], [6, 7]]",0.015882285576964257,"[[(3, 3)], [(2, 2)], [(1, 1)], [(4, 4)], [(3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
13,71,"['frag_13_c00001', 'frag_08_c00001', 'frag_14_c00001', 'frag_16_c00001']","[[8, 6, 7, 7, 6], [6, 6, 7], [8, 6, 7, 6, 8], [6]]",0.015921300546947077,"[[(3, 3)], [(1, 1)], [(2, 2)], [(2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)]]"
14,76,"['frag_13_c00001', 'frag_11_c00001', 'frag_14_c00001', 'frag_16_c00001']","[[6, 7, 7, 6], [6, 7, 6, 8], [8, 6, 7, 6, 8], [6, 8]]",0.01600410027413992,"[[(1, 1), (3, 3)], [(4, 6)], [(2, 2)], [(2, 4), (3, 5), (5, 7), (6, 8), (7, 9)]]"
15,80,"['frag_13_c00001', 'frag_16_c00001', 'frag_14_c00001', 'frag_09_c00001']","[[8, 6, 7, 7, 6], [6], [8, 6, 7, 6, 8], [6, 6, 6]]",0.016039952385196295,"[[(3, 3)], [(2, 4), (3, 5), (4, 6), (5, 7), (6, 8), (7, 9)], [(2, 2)], [(1, 1)]]"
16,89,"['frag_13_c00001', 'frag_08_c00001', 'frag_15_c00001', 'frag_16_c00001', 'frag_11_c00001']","[[8, 7, 7, 6], [6, 6, 7], [8, 6, 6, 6, 8, 8], [6, 7, 8], [6, 7, 6, 8]]",0.016084441712026436,"[[(2, 2), (3, 3)], [(1, 1)], [(4, 4)], [(3, 5), (5, 7), (6, 8), (7, 9)], [(4, 6)]]"
17,100,"['frag_13_c00001', 'frag_09_c00001', 'frag_15_c00001', 'frag_16_c00001', 'frag_11_c00001']","[[8, 7, 7, 6], [6, 6, 6], [8, 6, 6, 6, 8, 8], [6, 7, 8], [6, 7, 6, 8]]",0.016203093550275653,"[[(2, 2), (3, 3)], [(1, 1)], [(4, 4)], [(3, 5), (5, 7), (6, 8), (7, 9)], [(4, 6)]]"
18,109,"['frag_13_c00001', 'frag_08_c00001', 'frag_11_c00001', 'frag_16_c00001']","[[8, 7, 7, 6], [6, 6, 7], [6, 7, 6, 8], [6, 8]]",0.016242108520258473,"[[(2, 2), (3, 3)], [(1, 1)], [(4, 6)], [(2, 4), (3, 5), (5, 7), (6, 8), (7, 9)]]"
19,127,"['frag_13_c00001', 'frag_11_c00001', 'frag_16_c00001', 'frag_09_c00001']","[[8, 7, 7, 6], [6, 7, 6, 8], [6, 8], [6, 6, 6]]",0.01636076035850769,"[[(2, 2), (3, 3)], [(4, 6)], [(2, 4), (3, 5), (5, 7), (6, 8), (7, 9)], [(1, 1)]]"
20,128,"['frag_13_c00001', 'frag_15_c00001', 'frag_16_c00001', 'frag_12_c00001']","[[7, 7, 6], [8, 6, 6, 6, 8, 8], [6, 7, 8], [6, 8, 7, 6]]",0.016360857807699115,"[[(1, 1), (2, 2), (3, 3)], [(4, 4)], [(3, 5), (5, 7), (6, 8), (7, 9)], [(2, 6)]]"
