,SolN,Fragments,ObjValNoPen,ObjValWithPen
0,1,"['frag_04_c00001', 'frag_16_c00001']",2.0979984927689657,2.0979984927689657
1,2,"['frag_03_c00001', 'frag_15_c00001']",4.952370654675178,4.952370654675178
2,3,"['frag_08_c00001', 'frag_11_c00001']",4.970410292502493,4.970410292502493
3,4,"['frag_05_c00001', 'frag_13_c00001']",5.54347444139421,5.54347444139421
4,5,"['frag_10_c00001', 'frag_11_c00001']",5.645915809785947,5.645915809785947
5,6,"['frag_08_c00001', 'frag_12_c00001']",7.074307951144874,7.074307951144874
6,7,"['frag_06_c00001', 'frag_14_c00001']",7.415108185028657,7.415108185028657
7,8,"['frag_10_c00001', 'frag_12_c00001']",8.141100469511002,8.141100469511002
8,9,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",10.352384960162453,10.352384960162453
9,10,"['frag_01_c00001', 'frag_08_c00001', 'frag_10_c00001']",10.619703887379728,10.619703887379728
