,SolN,Fragments,ObjValNoPen,ObjValWithPen
60,61,"['frag_02_c00001', 'frag_06_c00001', 'frag_09_c00001']",0.34999643916652623,0.34999643916652623
61,62,"['frag_01_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_07_c00001']",0.3822466835430127,0.3822466835430127
62,63,"['frag_01_c00001', 'frag_05_c00001', 'frag_12_c00001']",0.38478510967700075,0.38478510967700075
63,64,"['frag_01_c00001', 'frag_05_c00001', 'frag_11_c00001']",0.3848378049806751,0.3848378049806751
64,65,"['frag_02_c00001', 'frag_05_c00001', 'frag_09_c00001']",0.3929984999356293,0.3929984999356293
65,66,"['frag_01_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_08_c00001']",0.42023930355699335,0.42023930355699335
66,67,"['frag_01_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_10_c00001']",0.4235875031037182,0.4235875031037182
67,68,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",0.43577289042301004,0.43577289042301004
68,69,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_08_c00001']",0.4408643385851647,0.4408643385851647
69,70,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_10_c00001']",0.4415575206687734,0.4415575206687734
70,71,"['frag_01_c00001', 'frag_03_c00001', 'frag_05_c00001', 'frag_06_c00001']",0.45557459970296854,0.45557459970296854
71,72,"['frag_01_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_09_c00001']",0.4681206773488036,0.4681206773488036
72,73,"['frag_01_c00001', 'frag_02_c00001', 'frag_04_c00001', 'frag_07_c00001']",0.479025813881524,0.479025813881524
73,74,"['frag_02_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_06_c00001']",0.5217939379396004,0.5217939379396004
74,75,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_09_c00001']",0.5232389936361219,0.5232389936361219
