,SolN,Fragments,Excess,ObjVal,Assignments
0,1,"['frag_16_c00001', 'frag_15_c00001']","[[], [6, 7, 6, 8, 8]]",14792.89869331122,"[[(7, 2), (6, 4), (1, 5), (4, 6), (5, 7), (2, 8), (3, 9)], [(1, 1), (3, 3)]]"
1,69,"['frag_13_c00001', 'frag_16_c00001', 'frag_15_c00001']","[[8, 6, 7, 7, 6], [6], [6, 7, 6, 8, 8]]",15867.14654291877,"[[(3, 2)], [(2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (3, 9)], [(1, 1), (3, 3)]]"
2,117,"['frag_16_c00001', 'frag_14_c00001', 'frag_15_c00001']","[[], [8, 6, 6, 7, 6], [8, 6, 7, 6, 8, 8]]",16068.980474233977,"[[(7, 2), (6, 4), (3, 5), (4, 6), (5, 7), (2, 8), (1, 9)], [(6, 1)], [(3, 3)]]"
